
http://localhost:4000/api/userprofiles/nivi , Method = GET , Date = Sun Jul 19 2020 17:54:47 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/nivi , Method = GET , Date = Sun Jul 19 2020 17:55:58 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 18:37:05 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 18:37:05 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:03:35 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:03:35 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:04:43 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:04:43 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:08:04 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:08:29 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:10:51 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:10:51 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:12:39 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:12:39 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:12:44 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:12:44 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:19:55 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:19:55 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:48:57 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:48:57 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:49:03 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:49:03 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:50:04 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:50:04 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:50:47 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:50:47 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:51:43 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:51:43 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:53:00 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:53:00 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:53:41 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:53:41 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:56:04 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:56:04 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:56:53 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:56:53 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:57:24 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:57:24 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:58:32 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:58:32 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 19:59:18 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 19:59:18 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:00:51 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:00:51 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:01:39 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:01:39 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:12:42 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:12:42 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:15:46 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:15:46 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:16:46 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:16:46 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:16:49 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:16:49 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:18:25 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:18:25 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:24:09 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:24:09 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:25:29 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:25:29 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:27:40 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:27:40 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:29:06 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:29:06 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:29:25 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:29:25 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:29:51 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:29:51 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:30:06 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:30:06 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
